name,gender,dup
Jann.,female,
Jannatgen,female,
Jannatje,female,
Jannetie,female,
Jannite,female,
Jannitie,female,
Jeannetre,female,
Jeinie,female,
Jellitje,female,
Jemeima,female,
Jemima,female,
Jemimah,female,
Jenae,female,
Jennek,female,
Jenneka,female,
Jese,female,
Jesje,female,
Jetie,female,
Jezyntie,female,
Jilian,female,
Jinney,female,
Jinni,female,
Jise,female,
Jittje,female,
Joakemis,female,
Jocamyna,female,
Johanetta,female,
JoHannah,female,
Johannetya,female,
Johnetta,female,
Jopje,female,
Josephtte,female,
Josette,female,
Josyna,female,
Josyntie,female,
Josyntje,female,
Juda,female,
Judea,female,
Judekie,female,
Judhy,female,
Judic,female,
Judick,female,
Judike,female,
Judiq,female,
Julick,female,
Juni,female,
Ketzia,female,
Kirsia,female,
Lackje,female,
Lammetje,female,
Lancha,female,
Landje,female,
Latisse,female,
Lattice,female,
Lavica,female,
Lavinchie,female,
Lavinette,female,
Leentie,female,
Leise,female,
Lette,female,
Leveille,female,
Levintie,female,
Limmetje,female,
Lisabit,female,
Litie,female,
Liue,female,
Livyntie,female,
Louisje,female,
Louissa,female,
Louisse,female,
Lucrisie,female,
Lucritia,female,
Lurary,female,
Luy,female,
Lvsbeth,female,
Lybe,female,
Lybetie,female,
Lÿbetje,female,
Lyltie,female,
Lyntie,female,
Lyntje,female,
Lysabeth,female,
Lysbet,female,
Machtel,female,
Machteltje,female,
Machtilda,female,
Madam,female,
Madame,female,
Maddelena,female,
Maddelientje,female,
Madelena,female,
Madeléne,female,
Maejika,female,
Maejke,female,
Maeyke,female,
Mag,female,
Magar,female,
Magdalane,female,
Magdalène,female,
Magdela,female,
Magdelaine,female,
Magdelena,female,
Magdelène,female,
Magdelentie,female,
Magdlaena,female,
Maghtel,female,
Magraeth,female,
Magrieta,female,
Magrietje,female,
Magtelt,female,
Maica,female,
Malletie,female,
Malli,female,
Mally,female,
Maragita,female,
Marche,female,
Mareytje,female,
Margagriet,female,
Margar.,female,
Margarith,female,
Margaritie,female,
Margat,female,
Marget,female,
Margrietjen,female,
Margueritte,female,
Maria,female,
maria,female,
Mariamme,female,
Mariba,female,
Mariche,female,
Maried,female,
Marieles,female,
Maritee,female,
Maritie,female,
Maritya,female,
Marke,female,
Marraine,female,
Marretje,female,
Marrietje,female,
Marrtgien,female,
Marrvtje,female,
Marryite,female,
Marrytje,female,
Martaleentje,female,
Marteh,female,
Marteynje,female,
Marthen,female,
Martia,female,
Maryke,female,
Marymadelene,female,
Marytie,female,
Marytjen,female,
Mater,female,
Matie,female,
Matje,female,
Matta,female,
Matte,female,
Mayken,female,
Mehitabel,female,
Meletie,female,
Merchury,female,
Mercy,female,
Messie,female,
Meynotie,female,
Meytie,female,
Mis,female,
Miss,female,
Molli,female,
Mother,female,
mother,female,
Mrs,female,
Nabb,female,
Nanzy,female,
Naomy,female,
Neelgje,female,
Neeltie,female,
Neetie,female,
Neilgen,female,
Nelche,female,
Nelje,female,
Nelletie,female,
Nelley,female,
Neltje,female,
Nencie,female,
Neth,female,
Netie,female,
Nettennel,female,
Neylche,female,
Nicasie,female,
Niesse,female,
Nuyse,female,
Obedia,female,
Obedie,female,
Old,female,
Ollive,female,
Omie,female,
Orande,female,
Orseltje,female,
osephine,female,
Ossel,female,
Osseltje,female,
Oyje,female,
Paggy,female,
Peghgie,female,
Pekkee,female,
Pelagie,female,
Perine,female,
Perpetue,female,
Persilla,female,
Peterge,female,
Petertie,female,
Petterlin,female,
Phelityah,female,
Phila,female,
Philippina,female,
Philis,female,
Pietertie,female,
Polly,female,
Pregeante,female,
Pryntie,female,
Rachel,female,
Rebackah,female,
Reinne,female,
Rendeltje,female,
Resula,female,
Retica,female,
Reycke,female,
Rosyna,female,
Rozanna,female,
Rozannah,female,
Rutje,female,
Saartie,female,
Saartje,female,
Saeertie,female,
Saertie,female,
Sal.,female,
Saleche,female,
Sall.,female,
Sallis,female,
Samalli,female,
Santie,female,
Santje,female,
Santye,female,
Sapphia,female,
Savia,female,
Seia,female,
Seintie,female,
Seitie,female,
Seletie,female,
Selia,female,
Selytje,female,
Sephia,female,
Seytje,female,
Sharlotte,female,
Sibe,female,
Sielietie,female,
sister,female,
Sitie,female,
Sofina,female,
Sogya,female,
Ssuanne,female,
Stintie,female,
Styntje,female,
Styntjen,female,
Susane,female,
Suson,female,
Sussana,female,
Suster,female,
Suzanah,female,
Swaentje,female,
Syche,female,
Sydje,female,
Syntie,female,
Syntje,female,
Sytie,female,
Sytje,female,
Tabie,female,
Tanna,female,
Tanne,female,
Temperance,female,
Temperantia,female,
Temperens,female,
Tempje,female,
Teuntie,female,
Theotiste,female,
Thérése,female,
Tietye,female,
Tilial,female,
Tjartje,female,
Tjatie,female,
Toinette,female,
Totty,female,
Treatche,female,
Treche,female,
Trincha,female,
Trintie,female,
Trvntie,female,
Tryntie,female,
Tryntje,female,
Tuilia,female,
Tyntie,female,
Tysje,female,
Ursuleena,female,
Volikie,female,
Volkertje,female,
Volkey,female,
Volkje,female,
Volkye,female,
Vrona,female,
Vroutje,female,
Vulpie,female,
Weintie,female,
Welemtie,female,
Weltha,female,
Weyntje,female,
Wianna,female,
wid,female,
widow,female,
Wife,female,
wife,female,
Willemeyntie,female,
Willemintie,female,
Willemptie,female,
Willemtie,female,
Williamtie,female,
Willimytie,female,
Wilmyntie,female,
Wyntie,female,
Wyntje,female,
Wyntye,female,
Ydje,female,
Ysabelle,female,
Zeely,female,
Zytie,female,
