from,to
Catelyntje,Catalina
Cath.,Catharina
Cathaarina,Catharina
Cathal,Catalina
Cathalena,Catalina
Cathaleyntje,Catalina
Cathalina,Catalina
Cathalintie,Catharina
Cathalyna,Catalina
Cathalyn,Catalina
Cathalyne,Catalina
Cathalynte,Catalina
Cathalyntje,Catharina
Cathalytttie,Catalina
Cathar,Catharina
Catharena,Catharina
Cathareyna,Catharina
Cathareyntie,Catharina
Catharia,Catharina
Catharian,Catharina
Cathariena,Catharina
Catharien,Catharina
Catharientie,Catharina
Catharin,Catharina
Catharine,Catharina
catharine,Catharina
Catharins,Catharina
Catharma,Catharina
Catharme,Catharina
Catharna,Catharina
Catharyna,Catharina
Catharyn,Catharina
Catharyntie,Catharina
Catharyntje,Catharina
Cath,Catharina
Cathelyntie,Catharina
Catherina,Catharina
Catherin,Catharina
Catherine,Catharina
Cathlina,Catalina
Cathlyntie,Catalina
Cathrientie,Catharina
Cathrina,Catharina
Cathrine,Catharina
Cathryna,Catharina
Cathryn,Catharina
Cathryntie,Catharina
Cathy,Catharina
Catie,Katie
Catje,Katie
Catleintie,Catalina
Catlejntje,Catalina
Catlena,Catalina
Catleyntie,Catalina
Catlina,Catalina
Catline,Catalina
Catlintje,Catalyntje
Catlyna,Catalina
Catlyn,Catalina
Catlyntie,Catalina
Catlyntije,Catalina
Catlyntje,Catalina
Catlytie,Catalina
Catrayna,Catharina
Catr,Catharina
Catreina,Catharina
Catreintie,Catharina
Catreyna,Catharina
Catreyntje,Catharina
Catriena,Catharina
Catrienie,Catharina
Catrientie,Catharina
Catrientien,Catharina
Catrientye,Catharina
Catrina,Catharina
Catrin,Catharina
Catrinna,Catharina
Catrrina,Catharina
Catryna,Catharina
Catryn,Catharina
Catryntie,Catharina
Catryntje,Catharina
Cattarina,Catharina
Catteleyntje,Catalina
Cattrina,Catharina
Caty,Catharina
Ceity,Sytie
Celitie,Celia
Cellep,Caleb
Celytie,Celitie
Charel,Charles
Chareles,Charles
Charelott,Charlotte
Charels,Charles
Charl,Charles
Charlois,Charles
Charlotta,Charlotte
Charretty,Charity
Charrite,Charity
Charsten,Carsten
Charston,Carsten
Chasper,Caspar
Chatarina,Catharina
Chataryna,Catharina
Chat,Catharina
Chatharina,Catharina
Chath,Catharina
Cherl,Charles
Cherrety,Charity
Cherritie,Charity
Chieltie,Gelitie
Chr,Christina
Chrescyntie,Christina
Chrestena,Christina
Christana,Christina
Christeen,Christina
Christena,Christina
Christeyntje,Christina
Christeytje,Christina
Christiaan,Christian
Christiaen,Christian
Christiana,Christina
Christianna,Christina
Christianus,Christian
Christiena,Christina
Christien,Christina
Christinaa,Christina
Christine,Christina
Christing,Christina
Christisen,Christian
Christoffel,Christofel
Christoffer,Christofer
Christona,Christina
Christophel,Christofel
Christopl,Christofel
Christyna,Christina
Christyn,Christian
Christyntie,Christina
Christyntje,Christina
Chrstiaen,Christian
Chrystyn,Christina
Cilia,Celia
Cinthia,Cynthia
Claartje,Claartie
Claas,Claes
Claase,Claes
Claasie,Clasje
Claasje,Claes
Claeertie,Claartie
Claertie,Claartie
Claertye,Claartie
Claesje,Claes
Claesye,Claes
Clartie,Claartie
Clartje,Claartie
Clartye,Claartie
Claus,Claes
Clausie,Claes
Clyn,Cleyn
Cobe,Koobes
Cobus,Koobes
Coenraad,Conrad
Coenraadt,Conrad
Coenraat,Conrad
Coenradis,Conrad
Coenradt,Conrad
Coenradus,Conrad
Coenraed,Conrad
Coenraedt,Conrad
Coenraet,Conrad
Conradus,Conrad
Coobes,Koobes
Coonraat,Conrad
Coonradt,Conrad
Coonraet,Conrad
Coonrath,Conrad
Corcet,Corset
Corenlila,Cornelia
Corneiis,Cornelius
Cornel,Cornelius
Cornelea,Cornelia
Corneleia,Cornelia
Corneles,Cornelius
Corneleya,Cornelia
Cornelies,Cornelius
Cornelila,Cornelia
Cornelis,Cornelius
Cornelisje,Cornelius
Cornelisvan,Cornelius
Cornellia,Cornelia
Cornellis,Cornelius
Cornells,Cornelius
Cornelus,Cornelius
Cornelya,Cornelia
Cornilis,Cornelius
Cornliae,Cornelia
Cornlis,Cornelius
Cornlius,Cornelius
Corns,Cornelius
Cozyn,Cosyn
Crestean,Christina
Crestena,Christina
Crestiena,Christina
Crestina,Christina
Cretche,Gretche
Cretia,Lucretia
Crhistina,Christina
Cristaen,Christian
Cristeaen,Christian
Cristena,Christina
Cristiaan,Christian
Cristiaen,Christian
Cristina,Christina
Cristoffel,Christofel
Cristyntie,Christina
Cronelia,Cornelia
Cuiertie,Cuniertie
Cuniertie,Cuniertie
Cytie,Sytie
Dabora,Deborah
Damas,Thomas
Danel,Daniel
Daniels,Daniel
Danile,Daniel
Danill,Daniel
Dannel,Daniel
Danniel,Daniel
Danyel,Daniel
Davet,David
Davidt,David
Davit,David
Debbera,Deborah
Debbora,Deborah
Deb,Deborah
Deborah,Deborah
Deborra,Deborah
Debra,Deborah
Debrah,Deborah
Debroa,Deborah
Deleferens,Deliverence
Deleverins,Deliverence
Delifferens,Deliverence
Delifferins,Deliverence
Denis,Dennis
Dennel,Daniel
Dercjee,Dirckje
Derckje,Dirckje
Dercktje,Dercktie
Dereck,Derck
Derik,Derick
Derk,Dirk
Derreck,Derck
Derrick,Derck
Deverens,Deliverence
Devorah,Deborah
Dewer,Diewer
Diaan,Dinah
Diana,Dinah
Dianah,Dinah
Dianna,Dinah
Dibra,Deborah
Dierckje,Dirk
Dieuwertie,Diewerte
Diever,Diewerte
Dievertje,Diewerte
Dieweer,Diewer
Dieweerte,Diewerte
Dieweertie,Diewerte
Dieweertje,Diewerte
Diewerte,Diewer
Diewertie,Diewerte
Diewertje,Diewerte
Dina,Dinah
Dirck,Derck
Dircketie,Dercktie
Dirckie,Dirckje
Dirckrick,Dirkrick
Dircky,Dirk
Dirkje,Dirk
Dirreck,Dirk
Dirrick,Dirk
Dirricke,Dirk
Dirrickye,Dirk
Dirrik,Dirk
Divertie,Diewerte
Divevertje,Diewerte
Diweertie,Diewerte
Diwer,Diewer
Diwertie,Diewerte
Djbra,Deborah
Dominco,Domingo
Donia,Dinah
Doortie,Dorothea
Doratha,Dorothea
Dorathea,Dorothea
Dorathe,Dorothea
Dorathee,Dorothea
Dor,Dorothea
Doreta,Dorothea
Dorete,Dorothea
Dorethea,Dorothea
Dorethe,Dorothea
Dorethee,Dorothea
Dorette,Dorothea
Dorithea,Dorothea
Dorithe,Dorothea
Dorithy,Dorothea
Doriti,Dorothea
Doritie,Dorothea
Dority,Dorothea
Dorotha,Dorothea
Dorothe,Dorothea
Dorothee,Dorothea
Dorothy,Dorothea
Dorthea,Dorothea
Dorthia,Dorothea
Dosy,Docia
Douwe,Douw
Dowe,Douw
dreck,Derck
Drothea,Dorothea
Durck,Dirk
Durckie,Dirkie
Durcktie,Dercktie
Dwierte,Diewerte
Dyrck,Dirk
Dyrick,Dirk
Dyrk,Dirk
Ebbegal,Abigail
Ebbegel,Abigail
Ebbitie,Ebbetie
Ebegel,Abigail
Ebertie,Ebbertie
Ebiegel,Abigail
Ebigl,Abigail
Ecbert,Egbert
Echtje,Aagtie
Eckbert,Egbert
Eckbertie,Ebbertie
Edman,Edmond
Eduaart,Edward
Eduard,Edward
Eduart,Edward
Eduert,Edward
Eduward,Edward
Eduwart,Edward
Eduwert,Edward
Edwaerd,Edward
Edwaerdt,Edward
Edwardt,Edward
Eelsie,Elsie
Eeme,Emie
Eemetie,Emmetie
Eevert,Evert
Efa,Eva
Effee,Eva
Effe,Eva
Effy,Eva
Efie,Eva
Efije,Eva
Efje,Eva
Efraim,Epharim
Efter,After
Efye,Eva
Egberth,Egbert
Eghbert,Egbert
Eghje,Egje
Eghy,Aegie
Egie,Aegie
Egien,Agien
Ehsabeth,Elizabeth
Ehzabeth,Elizabeth
Eida,Ida
Eiede,Iede
Eifje,Eva
Eiizabeth,Elizabeth
Eilsjen,Elsie
Eisther,Esther
Eitie,Eytje
Eitye,Eytje
Eizabeth,Elizabeth
Ejtje,Eytje
Elbert,Albert
Elbertie,Albertie
Eleaner,Elenor
Eleanir,Elenor
Eleanor,Elenor
Eleena,Elena
Elena,Elena
Eleonoor,Elenor
Eleonora,Elenor
Eleonore,Elenor
Eleonor,Elenor
Eleyas,Elias
Eleysabet,Elizabeth
Elezabath,Elizabeth
Elgeltie,Engeltie
Elice,Alice
Elida,Alida
Elie,Elia
Eliesabet,Elizabeth
Eliesabeth,Elizabeth
Eliezabet,Elizabeth
Eliezabeth,Elizabeth
Elilzabet,Elizabeth
Elina,Elena
Elinor,Elenor
Elisaabeth,Elizabeth
Elisab,Elizabeth
Elisabet,Elizabeth
Elisabetha,Elizabeth
Elisabeth,Elizabeth
Elisabt,Elizabeth
Elisabth,Elizabeth
Elisa,Eliza
Elisaib,Elizabeth
Elisbeth,Elizabeth
Elisebeth,Elizabeth
Elis,Elizabeth
Eliszabet,Elizabeth
Elizabbeth,Elizabeth
Elizab,Elizabeth
Elizaberth,Elizabeth
Elizabet,Elizabeth
Elizabth,Elizabeth
Eliza,Elizabeth
Elizbet,Elizabeth
Elizebeth,Elizabeth
Eliz,Elizabeth
Eljias,Elias
Ellenar,Elenor
Ellen,Elena
Ellener,Elenor
Ellenor,Elenor
Elleonora,Elenor
Ellin,Elena
Ellisabet,Elizabeth
Ellisabeth,Elizabeth
Ellizabeth,Elizabeth
Ellyaen,Elena
Ellzabeth,Elizabeth
Elngeltie,Engeltie
Elsabeth,Elizabeth
Elsebet,Elizabeth
Elsebeth,Elizabeth
Else,Elsie
Els,Elsie
Elsey,Elsie
Elshe,Elsie
Elshey,Elsie
Elshie,Elsie
Elshi,Elsie
Elsje,Elsie
Elsjen,Elsje
Elsjens,Elsjen
Elsjer,Elsie
Elspy,Elspie
Elssie,Elsie
Elsybet,Elizabeth
Elyas,Elias
Elysabet,Elizabeth
Elysabeth,Elizabeth
Elyzabet,Elizabeth
Elyzabeth,Elizabeth
Elyz,Elizabeth
Elzabeth,Elizabeth
Elzebet,Elizabeth
Elzebeth,Elizabeth
Elzee,Elsie
Elz,Elizabeth
Emerensje,Emerencia
Emerentia,Emerencia
Emetie,Emmetie
Emgeltie,Engeltie
Emmen,Ammon
Emmerens,Emerencia
Emmerensje,Emmerentia
Emmerentie,Emmerentia
Emmie,Emma
Emmigje,Emmetie
Emmitie,Emmetie
Emy,Amy
Engeeltie,Engeltie
Engelite,Engeltie
Engelt,Engeltie
Engeltien,Engeltie
Engeltje,Engeltie
Engeltye,Engeltie
Eng,Engeltie
Engiel,Engel
Englebert,Engelbert
Engletie,Engeltie
Engltie,Engeltie
Ennem,Enam
Entenie,Antony
Ephraim,Epharim
Ersula,Resula
Esajas,Isaiah
Ester,Esther
Euwout,Ewouwd
Evah,Eva
Evart,Evert
Evatje,Eva
Eve,Eva
Everadrus,Everardus
Everadus,Everardus
Everd,Evert
Everdt,Evert
Everhardas,Everardus
Everhardus,Everardus
Evie,Eva
Evje,Eva
Ewoud,Ewouwd
Ewout,Ewouwd
Experence,Experience
Expierence,Experience
Expierens,Experience
Expirens,Experience
Expirience,Experience
Expiriens,Experience
Eybetie,Ebbetie
Eyke,Eck
Eytche,Eytje
Eyte,Ida
Eytie,Ida
Eytye,Ida
Febe,Phoebe
Febie,Phoebe
Feitie,Feytie
Feitjy,Feytie
Feitye,Feytie
Femmeetje,Femmetie
Femmetie,Emmetie
Femmetje,Femmetie
Femmettie,Femmetie
Femmtje,Femmetie
Fenne,Fanny
Fennetie,Femmetie
Fenny,Fanny
Ferandus,Fernandus
Ferdinandus,Ferdinand
Fermandus,Fernandus
Fernandus,Fernandus
Feronica,Veronica
Feyte,Feytie
Feythie,Feytie
Feytien,Feytie
Feytje,Feytie
Feytye,Feytie
Fictoor,Victor
Fiedje,Feytie
Fiedtie,Feytie
Fielander,Philander
Fietie,Feytie
Fietje,Feytie
Fietye,Feytie
Fieytie,Feytie
Filip,Philip
Fitie,Feytie
Florus,Floris
Foebie,Phoebe
Foeby,Phoebe
Folckert,Volkert
Folkerd,Volkert
Folkert,Volkert
Folkie,Volkie
Folkje,Volkie
Folky,Volkie
France,Frances
Franceyntie,Frances
Francine,Francina
Franciskus,Franciscus
Franckje,Francina
Francois,Francis
Francoy,Franck
Francyna,Francina
Francyn,Francina
Francyntie,Francientie
Frans,Francois
Fransoys,Francois
Fransyntie,Francientie
Fransyntje,Francientie
Frany,Frena
Fredeerick,Frederick
Frederich,Frederick
Frederik,Frederick
Frederyk,Frederick
Fred,Frederick
Fredreck,Frederick
Fredr,Frederick
Fredrich,Frederick
Fredrick,Frederick
Fredrik,Frederick
Freedrik,Frederick
Freena,Frena
Freenie,Frena
Frences,Frances
Frencis,Francis
Frenck,Franck
Frenkie,Frankje
Frensis,Francis
Frerick,Frederick
Frerik,Frederick
Friderich,Frederick
Frina,Frena
Frona,Frena
Fronica,Veronica
Frony,Frena
Frouwtie,Vrouwtie
Frowtie,Vrouwtie
Fryna,Frena
Fydje,Fiedje
Fydtie,Feytie
Fytie,Feytie
Fytje,Feytje
Fytjen,Feytie
Fytye,Feytie
Garretie,Garritie
Garrit,Garret
Gaultherus,Gualtherus
Geerhardus,Gerardus
Geerit,Geertie
Geeritie,Geertie
Geerje,Geertie
Geerjte,Geertie
Geersje,Geesie
Geertd,Geertie
Geerte,Geertie
Geerteruy,Geertruy
Geerterye,Geertie
Geert,Geertruy
Geerthruy,Geertruy
Geertray,Geertruy
Geertrey,Geertruy
Geertr,Geertruy
Geertruda,Gertrud
Geertrud,Gertrud
Geertrui,Gertrud
Geertruite,Geertruy
Geertruit,Gertrud
Geertrury,Gertrud
Geertruw,Geertruy
Geertruyda,Gertrud
Geertruyde,Gertrud
Geertruyd,Geertruy
Geertruydje,Gertrud
Geertruydt,Gertrud
Geertruy,Geertie
Geertruyt,Geertruy
Geertry,Geertruy
Geertryt,Gertrud
Geertuid,Gertrud
Geertuit,Gertrud
Geerturid,Gertrud
Geerturit,Gertrud
Geertuyda,Gertrud
Geertuyd,Geertie
Geertuy,Geertie
Geertye,Geertie
Geesa,Geesie
Geese,Geesje
Geesha,Geesie
Geeshe,Geesie
Geesje,Geesie
Geesjie,Geesie
Geeske,Geesie
Geesknana,Geesie
Geessie,Geesie
Geesye,Geesje
Geetruid,Gertrud
Geetruy,Geertruy
Gelante,Gelenta
Gelein,Gelyn
Geleyn,Gelyn
Gemina,Jemina
Geneveva,Genevieve
Genevieva,Genevieve
Georgie,Jurge
Georgius,Gregorius
Georgy,Jurge
Gerardus,Gerardus
Gerbrant,Gerbrandt
Gererd,Gerardus
Geretje,Geertje
Gerhard,Gerardus
Gerhardus,Gerardus
Geritie,Geertie
Geroge,Jurge
Gerradus,Gerardus
Gerrardus,Gerardus
Gerrebrech,Gerbregt
Gerrebrecht,Gerbregt
Gerreetie,Geertie
Gerretie,Geertie
Gerretje,Geertie
Gerretjr,Gerrtie
Gerridt,Gerrit
Gerritie,Geertie
Gerritje,Greitje
Gerrittie,Geertie
Gerritye,Geertie
Gerrt,Geertruy
Gerrtie,Geertie
Gerrti,Gerrit
Gerrtje,Gerrtie
Gert,Gerret
Gertje,Geertie
Gertray,Geertruy
Gertrey,Geertruy
Gertrude,Gertrud
Gertrud,Gertrud
Gertruid,Gertrud
Gertrui,Geertruy
Gertruit,Gertrud
Gertruyd,Geertruy
Gertruy,Geertie
Gerturit,Gertrud
Gerturitie,Geertruy
Gesie,Geesie
Gesje,Geesie
Gessje,Geesje
Gesyntie,Josinta
Getruyd,Gertrud
Getty,Katie
Geurtje,Geertie
Geysbert,Gysbert
Gidion,Gideon
Gielam,Gileam
Giertee,Geertie
Giertie,Geertie
Gilam,Gileam
Gilles,Jellis
Gillis,Jellis
Gilyaem,Gileam
Glorena,Gloriana
Glorianna,Gloriana
Godfree,Godfrey
Godfries,Godfrey
Godfri,Godfrey
Godtfri,Godfrey
Godvrees,Godfrey
Gooris,Gorus
Goosen,Gosen
Gorge,George
Gosyntie,Gosewyntie
Gothfree,Godfrey
Gouverneur,Gouveneur
Gozen,Gosen
Grache,Grace
Greertruy,Geertruy
Greesje,Geesje
Greetie,Geertie
Greetruy,Geertruy
Gregoris,Gregorius
Gregory,Gregor
Greitie,Geertie
Greitien,Grietien
Greitje,Geertie
Greitye,Geertie
Gretie,Geertie
Gretje,Geertie
Grieite,Geertie
Griesse,Grees
Grieten,Grietien
Griet,Grietien
Grietie,Geertie
Grietje,Geertie
Griettie,Geertie
Grietye,Geertie
Grirtie,Grieite
Gritie,Grieite
Gryte,Geertie
Grytje,Greitje
Gualterus,Gualtherus
Gualtherius,Gualtherus
Gualtheurs,Gualtherus
Gubartus,Hubartus
Guert,Geurt
Guesje,Geesje
Guiliaan,Kiliaan
Guiliam,William
Guiljam,William
Guilliam,William
Guisbert,Gysbert
Guliam,William
Gussein,Gishum
Gysbart,Gysbert
Gysberdt,Gysbert
Gysbert,Gysbert
Gysbertie,Gerbertie
Gysbertus,Gysbert
Gysbrecht,Gisbrecht
Gysbrt,Gysbert
Gysie,Geesie
Haarman,Harman
Haerman,Harmen
Haggaeus,Haggeus
Haggaus,Haggeus
Hanatie,Hannatie
Handerycus,Hendrik
Hannaatie,Hannah
Hanna,Hannah
Hannatie,Annatie
Hannerich,Henrich
Hannes,Johannes
Hannetie,Hannah
Hannetta,Hannah
Hannis,Hans
Hanriatte,Henrietta
hanus,Johannes
Haramanis,Harmanus
Haramanus,Harmanus
Harck,Herrick
